sharpe,sortino,win_rate,return,rsi_period,supertrend_multiplier,vwma_length,atr_length,stoch_lookback,smoothing_span,enter_thresh,exit_thresh
1.4947266330521396,1.524783210525007,0.5652173913043478,285.4697456092338,87,3.3584008096392264,164,65,284,9,0.58,0.11
1.4938265864749898,1.536806675031973,0.6842105263157895,286.04159700406234,140,4.826849988509509,179,25,238,9,0.65,0.11
1.478782497172227,1.506984909862098,0.5555555555555556,258.14042893510657,228,4.034601281828952,183,99,173,9,0.67,0.13
1.4764482565847796,1.4961372123437824,0.6470588235294118,254.33529656491996,170,3.906615459584435,183,42,177,9,0.67,0.11
1.4688143506801932,1.5194577576609953,0.5833333333333334,278.7033040627761,188,3.595490912904601,187,17,114,9,0.51,0.17
1.4659972883037415,1.4766250407446995,0.6842105263157895,239.6697161900462,216,2.6846590831132873,169,36,283,5,0.63,0.12
1.463275275665401,1.4739874378666118,0.7,231.81088553059882,182,4.930596738895225,174,49,298,3,0.63,0.17
1.4516892936768784,1.4978701363370117,0.56,251.41183344353527,140,3.2888424198624238,155,29,135,7,0.56,0.13
1.421000295163489,1.4496134418545885,0.6,203.81235057549412,198,4.918785806791628,187,35,135,9,0.64,0.15
1.4104704669723598,1.349000356720357,0.6818181818181818,155.7129324010333,86,4.608330106760728,188,21,223,9,0.67,0.24
1.4095722033726208,1.4498575555693705,0.5833333333333334,199.07273688924573,167,3.3294392285561694,178,94,218,9,0.57,0.22
1.4083635328149884,1.4274255814288377,0.6190476190476191,184.55754319418904,167,2.005947952094362,176,88,114,9,0.64,0.23
1.4059394654166129,1.1253228380866835,0.6785714285714286,80.52648248723465,242,3.256490657395058,58,31,271,3,0.68,0.43
1.401792681924587,1.2793481584209532,0.5882352941176471,142.1849847977962,91,2.7569254991655265,198,18,278,3,0.56,0.34
1.399675725109426,1.306492528765854,0.5925925925925926,140.05539887333822,56,4.98024416368684,180,62,132,5,0.61,0.21
1.3984785395243946,1.3643886669247636,0.631578947368421,165.03220810622648,272,2.7391449756387973,136,18,170,5,0.66,0.12
1.3936230056889083,1.3521977957427938,0.5882352941176471,132.54037992496012,281,3.8988651548623228,160,75,174,9,0.76,0.17
1.383715916020224,1.403570510559228,0.6363636363636364,179.75560688502472,199,2.2225819698740135,177,39,293,7,0.58,0.16
1.3816716216756086,1.3187294314819271,0.5483870967741935,137.85565121945496,204,3.9601483541344877,187,14,159,7,0.53,0.4
1.3795973144479332,1.488097220848853,0.5833333333333334,206.36009700156816,244,4.78159396756819,162,57,164,9,0.55,0.21
1.3721943880286616,1.4754100625967814,0.56,202.1627087826403,215,4.099807607002173,193,19,119,9,0.51,0.27
1.3631909993368718,1.362468646396314,0.5454545454545454,143.05454910874852,293,3.8939982241790956,169,45,209,9,0.64,0.33
1.3616885349484644,1.3212807364131594,0.7,131.04371482974153,150,4.123598324966615,160,22,146,3,0.7,0.17
1.3602790218313776,1.2013885984194361,0.48717948717948717,94.0333923009453,259,3.6913947815280146,58,24,252,9,0.54,0.41
1.3593216961293837,1.3001664160161466,0.6521739130434783,136.23559205602768,189,3.5356895295242694,109,20,245,7,0.63,0.13
1.3563402311084698,1.3029154746080716,0.5925925925925926,120.4834856315255,271,4.625877466882731,178,48,223,7,0.58,0.36
1.3557305899648455,1.3106723076667406,0.6818181818181818,133.86778266847833,181,2.227061065534056,127,44,160,5,0.65,0.18
1.3511857259164486,1.412196103204867,0.5,179.13790484586684,107,2.848077857244495,182,47,116,7,0.52,0.19
1.3471575152242965,1.2565105988896539,0.6666666666666666,119.19327322847288,247,2.204503181478455,105,75,143,9,0.65,0.18
1.3451580473315619,1.3181926736846643,0.6842105263157895,126.51970243165192,164,2.007911634403062,182,14,179,7,0.68,0.14
1.3433481093659347,1.451224300437797,0.5384615384615384,184.05151040358027,271,2.8875456064279104,147,48,224,5,0.51,0.16
1.3431116536871563,1.1389472702635473,0.5862068965517241,75.51973943804262,253,3.1612226433853823,54,70,279,7,0.62,0.35
1.340377420236565,1.2858082395239765,0.625,126.76630404371961,242,4.813510267025501,113,48,180,9,0.62,0.25
1.3375163110401571,1.2773872603086163,0.6,123.5198140057695,224,3.7086834560765007,104,67,194,9,0.61,0.21
1.3332473773612386,1.4130151119393888,0.625,161.31038258821087,276,4.678344531827722,165,36,210,3,0.62,0.18
1.3283829653936339,1.4136605297858955,0.56,155.67795378442042,261,3.442932903422203,157,57,281,5,0.59,0.22
1.3270812630202062,1.4202813064023192,0.5555555555555556,166.78078256563802,257,2.920508759399431,131,58,111,7,0.51,0.24
1.3241750875128078,1.2883795688607025,0.631578947368421,106.26444793462873,151,2.7138437323040936,197,74,143,7,0.7,0.2
1.3235109454440621,1.3939590201187186,0.5833333333333334,150.48327411275773,220,2.7475195865802404,145,69,150,7,0.59,0.25
1.3229170638444738,1.2277684019962167,0.5294117647058824,99.10379644765858,261,2.9798516526034597,160,36,201,5,0.59,0.44
1.3228249556271454,1.2807537505544466,0.5263157894736842,105.8766626372865,263,2.6500672446500637,160,59,106,3,0.72,0.22
1.3197253351296994,1.1338355291789333,0.6071428571428571,76.94746076911933,245,2.0696642135531254,73,78,118,5,0.63,0.27
1.3115633073060569,1.2363358361407382,0.6666666666666666,103.24634545944375,192,4.18202119020069,112,36,154,7,0.67,0.13
1.310590725755528,1.3843531383344132,0.5384615384615384,149.64839107126213,134,2.9034128232592566,149,87,185,5,0.56,0.18
1.3103500379061401,1.3063137736669026,0.48717948717948717,122.59894600973837,146,3.2373110030889953,149,78,119,9,0.5,0.44
1.310254438676165,1.0649536039968825,0.5862068965517241,66.11471425339096,191,2.861208112399482,65,20,256,5,0.66,0.33
1.3091554015043665,1.1362716372711361,0.5483870967741935,78.35795311913478,248,2.0816875773512358,88,52,104,9,0.59,0.44
1.302951209926999,1.1552545579427504,0.7142857142857143,74.50355626023325,121,3.317266783360332,175,54,114,9,0.69,0.29
1.3029511771088,1.3882567140905855,0.4827586206896552,137.61166609928432,271,4.985241483490308,126,79,125,9,0.55,0.3
1.3029368688217757,1.1826713539883877,0.47058823529411764,79.27450241969892,93,2.1252405015981806,56,45,293,9,0.56,0.18
1.3026036763451663,1.179864820933448,0.5135135135135135,91.45323482854805,94,4.301812445930787,126,86,231,7,0.54,0.43
1.2996753958907747,1.094275625107394,0.5121951219512195,69.88163217805027,160,2.359471107713127,57,97,164,3,0.6,0.41
1.2994401450150856,1.2608527089407808,0.631578947368421,100.69407844347366,188,3.085327850466575,184,32,294,9,0.69,0.24
1.2966396985874733,1.2536674833991703,0.5,105.24271348181365,272,4.20497827714717,135,37,139,3,0.51,0.38
1.2942188885527626,1.3935244051700106,0.5384615384615384,150.19730995988505,203,2.1405428242219746,172,70,102,9,0.51,0.18
1.2941377333237045,1.2320701356666595,0.5483870967741935,97.06928104500155,260,3.585687319695188,178,49,162,3,0.59,0.36
1.289924251647776,1.2038683369105907,0.5833333333333334,87.79485075253159,183,2.5779884386123486,192,17,229,5,0.62,0.32
1.2889788475293302,1.3921586791712302,0.5185185185185185,149.26320445483873,264,4.961057575683507,124,54,262,7,0.51,0.12
1.2889786726229557,1.1165075736132537,0.6153846153846154,64.60338662253922,76,4.317148805253752,72,84,282,5,0.67,0.18
1.2888076390705654,1.3655638926566178,0.5416666666666666,131.1947645373231,210,2.486523256198812,158,54,187,9,0.56,0.27
1.2877328261774819,1.154364715482801,0.5555555555555556,80.96222651887271,86,2.1848771606505446,162,15,161,9,0.61,0.38
1.2865908721145964,1.2132918445956793,0.6470588235294118,74.54931116538519,156,2.8270551531998156,171,86,231,5,0.77,0.13
1.282165547727929,1.2473370077016654,0.625,81.73391491865596,272,3.3125038755813105,197,23,110,7,0.76,0.23
1.280983114521967,1.201348235316278,0.65,87.30664857625028,291,2.118823220304934,122,73,191,3,0.74,0.15
1.2783222953700066,1.1331478181396817,0.4857142857142857,76.45738693547764,266,3.699813046224184,75,51,138,9,0.54,0.33
1.2771039125663988,0.99113426662609,0.5769230769230769,48.157226068165606,190,3.407850174837627,62,43,106,3,0.7,0.34
1.2754134893913314,1.2082359011486348,0.47368421052631576,91.01420133107364,224,4.056887526519117,139,17,229,7,0.52,0.44
1.2741947804948839,1.3145565531968133,0.6842105263157895,107.73775213741254,247,2.6425610418901115,152,36,197,3,0.67,0.19
1.2713819893068767,1.2041786986519876,0.5555555555555556,95.17936714321087,101,2.6059181338104396,109,43,262,9,0.61,0.23
1.271094582894925,1.3568771525984487,0.5357142857142857,128.28601662458453,287,4.603863045873119,130,57,188,7,0.52,0.22
1.270737179357457,1.2484097502664326,0.48484848484848486,96.68601187042168,149,4.666688588972725,168,68,102,9,0.53,0.42
1.268478451961717,1.2957931093183528,0.6363636363636364,98.10862234617315,273,4.602288471629976,167,29,168,3,0.63,0.24
1.264571928341945,1.1962177254449018,0.6,77.13282180215019,208,4.598912957156183,135,85,298,3,0.76,0.18
1.263787818908666,1.1082071480264155,0.6428571428571429,68.22927234520314,183,3.5463133195760452,107,76,221,7,0.63,0.42
1.2607955085901306,1.1105600213626763,0.5294117647058824,66.83875491841403,218,3.654063854416071,82,53,205,9,0.57,0.39
1.2607461326788403,1.1535895126208846,0.5365853658536586,75.21687736078181,50,4.806976896547972,144,92,143,3,0.55,0.41
1.258955326677834,1.1949161810962832,0.5,86.75409774124762,82,3.201672618492214,155,84,121,7,0.56,0.39
1.2580331017446382,1.1508846245818691,0.5517241379310345,69.12744496942464,205,4.047508434612675,184,50,121,7,0.61,0.43
1.2562361316487878,1.1473852114049816,0.631578947368421,65.5119763364318,60,2.5564533076019904,121,34,269,7,0.74,0.12
1.2560437108879952,1.1247231781881328,0.5,64.44764806285616,58,3.747029319959113,61,48,134,5,0.6,0.26
1.255850003065955,1.1260209023605263,0.6296296296296297,69.7022103000317,118,3.309713279213151,172,30,202,3,0.65,0.28
1.2558033492353067,1.179505793088538,0.625,86.12050274144897,117,4.472909365338139,140,46,215,9,0.65,0.25
1.2550160671594506,1.3179369937877945,0.5833333333333334,116.37807634846338,195,2.2138321753491237,136,85,108,7,0.6,0.11
1.2536203634329908,1.1869012914019936,0.5142857142857142,76.23793923797233,296,2.2644433796839585,55,90,106,7,0.55,0.2
1.253386838777266,1.1712417833932038,0.46875,77.99318649509794,176,4.414203651701348,100,40,114,9,0.53,0.31
1.249666281749723,1.057605066826192,0.53125,56.44015085342598,128,4.796009232005866,64,57,211,7,0.62,0.38
1.2484869047949694,1.0494776781844752,0.6333333333333333,54.273237960633054,252,4.401825209253021,89,15,147,5,0.66,0.44
1.248469607349324,1.1476838361304427,0.5769230769230769,69.27569429866143,263,3.216756850604034,138,70,286,7,0.62,0.37
1.2460012556661875,1.1673698333665699,0.53125,74.71764580117092,288,3.3038499621675688,102,25,296,7,0.57,0.27
1.2430375775965679,1.0363976007465423,0.5862068965517241,52.05201449570258,90,2.909839063609868,98,50,120,7,0.64,0.41
1.2393957730250842,1.2053381347142542,0.5,79.55090599442585,120,4.233728332806566,70,63,106,5,0.52,0.24
1.2389426380901318,1.1375657642921124,0.47058823529411764,71.01479804335193,196,4.218376928989801,102,46,127,7,0.56,0.4
1.2371853620784679,1.1190324163998766,0.6071428571428571,65.71173467157743,222,4.127734531769269,129,36,291,9,0.61,0.39
1.2355324357124666,1.0971257840046336,0.53125,56.15698581922532,200,3.9575985527832995,59,71,129,9,0.59,0.26
1.2340746832276617,1.2891060546211015,0.5,102.9908036706831,149,4.475816241671545,140,91,115,3,0.59,0.14
1.2300600898788032,1.274083824811042,0.46875,102.35853639348132,130,3.4069578479479676,142,97,236,7,0.52,0.23
1.2286970464079134,1.1264945275557365,0.5517241379310345,63.205065407455734,199,4.678254527881004,109,17,229,7,0.61,0.28
1.2268333705289525,1.1751408425000416,0.5517241379310345,74.41814994840969,91,4.6925479705245134,120,38,232,3,0.63,0.23
1.2209572236092816,1.046048014199128,0.6956521739130435,50.45191711173825,105,4.843833478264402,151,72,115,9,0.68,0.34
1.2156247102961595,1.1316188642153717,0.5625,53.81973790949043,263,3.9669954537802403,157,88,262,5,0.8,0.26
1.2147173857652953,0.9920822840817897,0.6,42.551814121696886,270,4.0769669278665415,70,62,138,3,0.67,0.43
1.211482081350401,1.102884146570082,0.631578947368421,55.225568260819315,115,3.390789122200874,163,42,261,9,0.74,0.22
1.210455956120906,0.9767130860430234,0.5357142857142857,41.02769507545033,132,2.6841781857189133,59,56,114,7,0.66,0.34
1.2093413654811769,1.1276318348450622,0.5625,53.778328434516354,230,2.833930491319789,161,98,193,9,0.79,0.21
1.208926024559428,1.077227219898442,0.5833333333333334,54.4645487341667,129,3.0114053548099284,177,58,283,7,0.65,0.29
1.2083402297832233,1.224248860227949,0.5,80.53254028373239,200,4.614664649712575,158,69,216,3,0.55,0.33
1.2072700243148713,1.242077224762052,0.4838709677419355,82.03228064524545,215,3.977487387438038,198,17,179,5,0.52,0.32
1.205435083125329,1.2756654363271078,0.5384615384615384,105.60048144203908,244,2.6327146910661003,160,64,232,9,0.51,0.15
1.204909824112449,1.0360786399790158,0.56,51.24120838527995,296,3.135300620385155,84,56,268,7,0.65,0.23
1.203544754096725,1.1224346102824758,0.5666666666666667,64.4191393486759,245,4.189389893318086,154,38,106,3,0.61,0.33
1.2004699455584087,1.2199490425074706,0.5151515151515151,81.27163673719616,300,2.873787660709329,120,76,233,5,0.5,0.33
1.1997366484203729,1.050356792460054,0.5294117647058824,52.21348802515024,156,3.4376116483071772,80,63,113,9,0.58,0.38
1.197669214530635,1.0697637118790486,0.5555555555555556,54.5994110552721,282,3.429032059893009,128,20,133,9,0.63,0.39
1.1956619784179423,1.0734296215227324,0.5517241379310345,54.68734931305911,124,3.787337301892388,92,51,236,7,0.62,0.26
1.1926888075510098,0.9662909222294171,0.6785714285714286,35.79459867157314,206,3.281019055984513,198,20,102,3,0.7,0.45
1.1924187079603534,1.126156174854784,0.5862068965517241,62.76787085867136,209,4.543980703388281,131,35,292,5,0.6,0.23
1.18951985234924,1.0936800776646112,0.5833333333333334,53.338749249394446,140,4.4944146008605435,164,36,100,3,0.68,0.25
1.1888432873052825,1.1661842610851179,0.5483870967741935,69.68599031474467,201,3.3572819969989007,104,76,174,3,0.59,0.24
1.1878187936234474,1.06823722746386,0.5714285714285714,51.544706525860896,239,4.375724382356077,129,30,267,7,0.64,0.4
1.1874436121637788,1.0166130694291853,0.5555555555555556,45.20824535274079,256,3.7646645898233406,85,67,228,9,0.65,0.39
